time,activity,patient,source,perspective
2010-11-02 10:56:03.336997,start with dates,http://cltl.nl/leolani/world/dates,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2010-11-02 10:56:03.336997,start with dates,http://cltl.nl/leolani/world/dates,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2010-11-02 10:56:03.336997,start with dates,http://cltl.nl/leolani/world/dates,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/emotion#UNDERSPECIFIED
2010-11-02 10:56:03.336997,start with dates,http://cltl.nl/leolani/world/dates,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/level#FULLY
2010-11-02 10:56:03.336997,start with dates,http://cltl.nl/leolani/world/dates,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/sentiment#UNDERSPECIFIED
2010-11-02 10:56:04.006284,"having a balanced meal with carbohydrates, proteins, and healthy fats for Iftar",http://cltl.nl/leolani/world/balanced_meal,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2010-11-02 10:56:04.006284,"having a balanced meal with carbohydrates, proteins, and healthy fats for Iftar",http://cltl.nl/leolani/world/balanced_meal,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2010-11-02 10:56:04.006284,"having a balanced meal with carbohydrates, proteins, and healthy fats for Iftar",http://cltl.nl/leolani/world/balanced_meal,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/level#SOMEWHAT
2010-11-02 10:56:04.006284,"having a balanced meal with carbohydrates, proteins, and healthy fats for Iftar",http://cltl.nl/leolani/world/balanced_meal,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2010-11-02 10:56:04.006284,"having a balanced meal with carbohydrates, proteins, and healthy fats for Iftar",http://cltl.nl/leolani/world/balanced_meal,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/emotion#GRATITUDE
2011-05-23 10:56:04.161767,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2011-05-23 10:56:04.161767,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/level#SOMEWHAT
2011-05-23 10:56:04.161767,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2011-05-23 10:56:04.161767,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/emotion#CARING
2011-05-23 10:56:04.161767,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/factuality#NEGATIVE
2011-05-23 10:56:04.225926,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2011-05-23 10:56:04.225926,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2011-05-23 10:56:04.225926,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2011-05-23 10:56:04.225926,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/level#ALMOST_FULLY
2011-05-23 10:56:04.225926,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/emotion#ADMIRATION
2011-05-23 10:56:04.610928,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2011-05-23 10:56:04.610928,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2011-05-23 10:56:04.610928,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2011-05-23 10:56:04.610928,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/level#ALMOST_FULLY
2011-05-23 10:56:04.610928,play,http://cltl.nl/leolani/world/oud,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/emotion#CARING
2015-05-09 10:56:06.074204,experiencing discomfort or symptoms,http://cltl.nl/leolani/world/your_daily_routine,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/emotion#CURIOSITY
2015-05-09 10:56:06.074204,experiencing discomfort or symptoms,http://cltl.nl/leolani/world/your_daily_routine,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2015-05-09 10:56:06.074204,experiencing discomfort or symptoms,http://cltl.nl/leolani/world/your_daily_routine,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/factuality#UNDERSPECIFIED
2015-05-09 10:56:06.074204,experiencing discomfort or symptoms,http://cltl.nl/leolani/world/your_daily_routine,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/level#SOMEWHAT
2015-05-09 10:56:06.074204,experiencing discomfort or symptoms,http://cltl.nl/leolani/world/your_daily_routine,http://cltl.nl/leolani/friends/agent,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2015-05-09 10:56:06.706908,make sure to discuss,http://cltl.nl/leolani/world/doctor,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/factuality#POSITIVE
2015-05-09 10:56:06.706908,make sure to discuss,http://cltl.nl/leolani/world/doctor,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/level#SOMEWHAT
2015-05-09 10:56:06.706908,make sure to discuss,http://cltl.nl/leolani/world/doctor,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/sentiment#POSITIVE
2015-05-09 10:56:06.706908,make sure to discuss,http://cltl.nl/leolani/world/doctor,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/factuality#PROBABLE
2015-05-09 10:56:06.706908,make sure to discuss,http://cltl.nl/leolani/world/doctor,http://cltl.nl/leolani/friends/Abdullah,http://groundedannotationframework.org/grasp/emotion#GRATITUDE
